timestamp,annotator_id,sex,age,education,provenance,political_position,sexual_orientation
5/4/2026 19:10:43,GS3,F,45,Dottorato,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/4/2026 21:24:29,GS4,F,53,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 4:25:51,GS1,F,52,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 11:18:47,GS10,F,30,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Non voto,Non appartenente alla comunità LGBTQIA+
5/5/2026 11:23:00,GS9,F,19,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 11:33:32,GS12,F,21,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 11:33:33,GS12,F,21,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 12:39:44,GS19,F,29,Laurea magistrale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 12:41:48,GS23,F,29,Laurea magistrale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 12:47:38,GS25,F,28,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 12:54:29,GS27,F,32,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 13:11:42,GS31,F,27,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 13:18:18,GS32,M,25,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/5/2026 15:47:18,GS41,F,26,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 16:22:41,GS44,F,34,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Non voto,Appartenente alla comunità LGBTQIA+
5/5/2026 16:48:04,GS46,F,34,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 18:37:04,GS48,F,78,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 18:41:41,GS49,M,68,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Destra,Non appartenente alla comunità LGBTQIA+
5/5/2026 19:38:28,GS52,F,44,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 20:17:03,GS55,F,29,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/5/2026 20:17:41,GS54,F,22,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
